id,year,issue_d,final_d,emp_length_int,home_ownership,home_ownership_cat,income_category,annual_inc,income_cat,loan_amount,term,term_cat,application_type,application_type_cat,purpose,purpose_cat,interest_payments,interest_payment_cat,loan_condition,loan_condition_cat,interest_rate,grade,grade_cat,dti,total_pymnt,total_rec_prncp,recoveries,installment,region
38568762.0,2015.0,01/02/2015,1012016.0,0.5,MORTGAGE,3.0,Low,70000.0,1.0,12000.0, 36 months,1.0,INDIVIDUAL,1.0,debt_consolidation,6.0,Low,1.0,Good Loan,0.0,8.19,A,1.0,18.29,4142.53,3360.2,0.0,377.09,leinster
67675948.0,2015.0,01/12/2015,,0.5,,1.0,Low,65000.0,1.0,7700.0, 36 months,1.0,INDIVIDUAL,1.0,,6.0,Low,1.0,Good Loan,0.0,10.64,B,2.0,5.74,0.0,0.0,0.0,250.78,Northern-Irl
60536844.0,2015.0,01/09/2015,1012016.0,2.0,MORTGAGE,3.0,Medium,125000.0,2.0,15200.0, 60 months,2.0,INDIVIDUAL,1.0,,6.0,High,2.0,Good Loan,0.0,15.61,D,4.0,34.7,1439.64,688.38,0.0,366.5,cannught
55933977.0,2015.0,01/07/2015,1122015.0,10.0,,2.0,Medium,142000.0,2.0,28000.0, 60 months,2.0,INDIVIDUAL,1.0,,6.0,,1.0,Good Loan,0.0,9.17,,2.0,17.81,,1876.38,0.0,583.55,leinster
476299.0,2010.0,01/01/2010,1032012.0,8.0,,2.0,Medium,200000.0,2.0,24250.0, 36 months,1.0,INDIVIDUAL,1.0,,6.0,High,2.0,Bad Loan,1.0,13.57,,3.0,14.3,19769.02,15023.78,0.0,823.74,ulster
1306520.0,2012.0,01/05/2012,,3.0,,3.0,Low,74500.0,1.0,18000.0, 60 months,2.0,INDIVIDUAL,1.0,,7.0,Low,1.0,Good Loan,0.0,12.12,,2.0,16.41,17230.7,11737.31,0.0,401.5,Northern-Irl
19186211.0,2014.0,01/06/2014,1122015.0,4.0,,1.0,Low,40000.0,1.0,11975.0, 36 months,1.0,INDIVIDUAL,1.0,,6.0,High,2.0,Good Loan,0.0,18.99,E,5.0,22.2,7956.8,5147.09,0.0,438.9,cannught
858538.0,2011.0,01/08/2011,1092012.0,5.0,,3.0,Low,65000.0,1.0,8000.0, 36 months,1.0,INDIVIDUAL,1.0,,1.0,High,2.0,Good Loan,0.0,15.99,,4.0,9.23,9035.83,8000.0,0.0,281.22,leinster
3289377.0,2013.0,01/02/2013,1012016.0,4.0,,3.0,,92000.0,1.0,20000.0, 36 months,1.0,INDIVIDUAL,1.0,,6.0,Low,1.0,Good Loan,0.0,6.62,,1.0,16.3,21483.2,19381.45,,614.08,munster
20078243.0,2014.0,01/07/2014,1102015.0,6.0,,3.0,Low,54000.0,1.0,1800.0, 36 months,1.0,INDIVIDUAL,1.0,,4.0,High,2.0,Good Loan,0.0,18.24,,4.0,27.78,2164.54,1800.0,0.0,65.3,Northern-Irl
33571555.0,2014.0,,1122015.0,6.05,,1.0,Low,24500.0,1.0,3500.0, 36 months,1.0,INDIVIDUAL,1.0,,6.0,Low,1.0,Good Loan,0.0,,,1.0,6.27,1538.27,1260.4,0.0,109.99,leinster
12528235.0,2014.0,01/03/2014,1012016.0,6.0,,2.0,Low,90000.0,1.0,, 60 months,2.0,INDIVIDUAL,1.0,,6.0,High,2.0,Good Loan,0.0,15.61,,3.0,23.29,5304.64,2807.27,0.0,241.12,leinster
46722417.0,2015.0,01/04/2015,1122015.0,7.0,,1.0,Low,67000.0,1.0,15000.0, 36 months,1.0,INDIVIDUAL,1.0,,6.0,Low,1.0,Good Loan,0.0,6.68,A,1.0,16.1,3682.19,3079.25,0.0,460.97,cannught
38212112.0,2015.0,01/01/2015,1022015.0,,RENT,1.0,Low,84934.0,1.0,16000.0, 36 months,1.0,INDIVIDUAL,,,1.0,High,2.0,Good Loan,0.0,14.99,C,3.0,13.55,,16000.0,0.0,554.57,leinster
6697445.0,2013.0,01/10/2013,1012016.0,7.0,RENT,1.0,Medium,115000.0,2.0,12000.0, 36 months,1.0,INDIVIDUAL,1.0,,1.0,High,2.0,Good Loan,0.0,17.76,,4.0,20.24,11674.53,8381.69,0.0,432.39,Northern-Irl
68817.0,2008.0,01/03/2008,1092010.0,10.0,MORTGAGE,3.0,Low,46116.0,1.0,10000.0, 36 months,1.0,INDIVIDUAL,1.0,,8.0,Low,1.0,Good Loan,0.0,11.03,C,3.0,13.04,11707.07,10000.0,0.0,327.53,leinster
50515285.0,2015.0,01/05/2015,1122015.0,1.0,,1.0,Low,50000.0,1.0,6000.0, 36 months,1.0,INDIVIDUAL,1.0,debt_consolidation,6.0,Low,1.0,Bad Loan,1.0,,,2.0,18.55,1171.13,868.43,0.0,196.41,ulster
,2015.0,01/10/2015,1012016.0,1.0,,1.0,Medium,130000.0,2.0,35000.0, 36 months,1.0,INDIVIDUAL,1.0,,6.0,Low,1.0,Good Loan,0.0,12.69,,3.0,11.75,3545.74,2437.42,0.0,1174.07,ulster
1460242.0,2012.0,01/08/2012,1102014.0,,MORTGAGE,3.0,Low,80000.0,1.0,17000.0, 36 months,1.0,INDIVIDUAL,1.0,,6.0,High,2.0,Good Loan,0.0,19.72,,4.0,8.67,22119.525230000003,17000.0,0.0,629.36,munster
34904445.0,2014.0,01/11/2014,1012016.0,3.0,,3.0,Low,49000.0,1.0,8400.0, 36 months,1.0,INDIVIDUAL,1.0,credit_card,1.0,High,2.0,Good Loan,0.0,14.31,C,3.0,25.18,4030.36,2848.95,0.0,288.36,ulster
47521166.0,2015.0,01/05/2015,1012016.0,10.0,MORTGAGE,3.0,Low,51500.0,1.0,, 60 months,2.0,INDIVIDUAL,1.0,,6.0,Low,1.0,Good Loan,0.0,9.17,,2.0,13.73,2493.32,1626.98,0.0,312.62,leinster
40980801.0,2015.0,01/02/2015,1012016.0,10.0,,3.0,Medium,152000.0,2.0,16000.0, 60 months,2.0,INDIVIDUAL,1.0,,6.0,Low,1.0,Good Loan,0.0,9.17,B,2.0,6.71,4418.3,3321.37,0.0,333.46,ulster
58562315.0,2015.0,01/08/2015,1122015.0,2.0,,3.0,Medium,101921.0,2.0,5600.0, 36 months,1.0,INDIVIDUAL,1.0,,1.0,Low,1.0,Good Loan,0.0,12.69,C,3.0,11.24,747.49,522.78,0.0,187.86,leinster
,2015.0,01/10/2015,1012016.0,10.0,,2.0,Medium,115000.0,2.0,25000.0, 60 months,2.0,INDIVIDUAL,1.0,credit_card,1.0,,1.0,Good Loan,0.0,8.18,B,2.0,15.6,1504.49,1022.9,0.0,509.07,Northern-Irl
8116318.0,2013.0,01/10/2013,1072015.0,10.0,RENT,1.0,Medium,165000.0,2.0,5000.0, 36 months,1.0,INDIVIDUAL,1.0,debt_consolidation,6.0,High,2.0,Good Loan,0.0,16.2,C,3.0,14.01,6082.06,4999.95,0.0,176.28,Northern-Irl
507462.0,2010.0,01/04/2010,1052013.0,7.0,,1.0,Low,55555.0,1.0,12000.0, 36 months,1.0,INDIVIDUAL,1.0,,6.0,High,2.0,Good Loan,0.0,16.82,,5.0,12.29,15349.41,12000.0,0.0,426.74,Northern-Irl
50941543.0,2015.0,01/06/2015,1012016.0,4.0,,1.0,High,215000.0,3.0,35000.0, 60 months,2.0,INDIVIDUAL,1.0,,6.0,High,2.0,Good Loan,0.0,18.25,,5.0,34.63,6183.81,2647.08,0.0,893.54,Northern-Irl
52229559.0,2015.0,01/06/2015,1012016.0,6.05,,1.0,Low,51000.0,1.0,15000.0, 36 months,1.0,INDIVIDUAL,1.0,,1.0,Low,1.0,,0.0,12.69,,3.0,20.45,3501.11,2489.77,0.0,503.18,ulster
,2015.0,01/01/2015,1012016.0,10.0,,3.0,Low,44040.0,1.0,6000.0, 36 months,1.0,INDIVIDUAL,1.0,medical,9.0,High,2.0,Good Loan,0.0,13.66,,3.0,26.7,2240.33,1581.56,0.0,204.08,ulster
1452689.0,2012.0,01/08/2012,1062014.0,8.0,RENT,1.0,Low,70000.0,1.0,16000.0, 36 months,1.0,INDIVIDUAL,1.0,,6.0,,2.0,Bad Loan,1.0,18.49,D,4.0,12.7,13342.13,8230.29,1112.15,582.38,ulster
5770625.0,2013.0,01/07/2013,1012016.0,10.0,MORTGAGE,3.0,Low,36400.0,1.0,9000.0, 36 months,1.0,INDIVIDUAL,1.0,debt_consolidation,6.0,Low,1.0,Bad Loan,1.0,11.14,,2.0,13.09,7840.47,6252.43,0.0,295.25,leinster
10151196.0,2014.0,01/01/2014,1012016.0,5.0,,3.0,Low,60000.0,1.0,3000.0, 36 months,1.0,INDIVIDUAL,1.0,debt_consolidation,6.0,High,2.0,Good Loan,0.0,18.25,D,4.0,32.6,2611.98,,0.0,108.84,cannught
17595805.0,2014.0,01/06/2014,1012016.0,3.0,MORTGAGE,3.0,Low,58000.0,1.0,11200.0, 60 months,2.0,INDIVIDUAL,1.0,credit_card,1.0,High,2.0,Good Loan,0.0,14.99,,3.0,22.26,5061.41,2693.48,0.0,266.39,Northern-Irl
31156820.0,2014.0,01/10/2014,1012016.0,10.0,,1.0,Low,69000.0,1.0,9200.0, 36 months,1.0,INDIVIDUAL,1.0,credit_card,1.0,Low,1.0,Good Loan,0.0,11.67,B,2.0,11.29,4550.02,3448.61,0.0,304.13,Northern-Irl
13035735.0,2014.0,01/03/2014,1122015.0,10.0,,1.0,Low,60000.0,1.0,5000.0, 36 months,1.0,INDIVIDUAL,1.0,,1.0,Low,1.0,Good Loan,0.0,9.67,,2.0,17.68,3371.97,2740.16,0.0,160.57,ulster
1816442.0,2012.0,01/11/2012,1122015.0,10.0,,3.0,Low,92000.0,1.0,35000.0, 60 months,2.0,INDIVIDUAL,1.0,credit_card,1.0,High,2.0,Good Loan,0.0,21.98,,5.0,27.61,35750.49,16995.59,0.0,966.27,leinster
46437863.0,2015.0,01/05/2015,1012016.0,6.05,,3.0,Low,45000.0,1.0,5200.0, 36 months,1.0,INDIVIDUAL,1.0,debt_consolidation,6.0,Low,1.0,Good Loan,0.0,10.99,B,2.0,12.83,1355.41,1012.79,0.0,170.22,leinster
54218797.0,2015.0,01/07/2015,1012016.0,0.5,MORTGAGE,3.0,Low,60000.0,1.0,15000.0, 36 months,1.0,INDIVIDUAL,1.0,major_purchase,8.0,Low,1.0,Good Loan,0.0,6.24,A,1.0,8.06,2742.62,2309.66,0.0,457.97,leinster
46358351.0,2015.0,01/04/2015,1052015.0,8.0,RENT,1.0,Low,47000.0,1.0,, 36 months,1.0,INDIVIDUAL,1.0,debt_consolidation,6.0,High,2.0,Bad Loan,1.0,16.55,,4.0,20.4,167.96,108.19,0.0,177.15,ulster
34733305.0,2014.0,01/11/2014,1012016.0,5.0,,1.0,Low,80000.0,1.0,9600.0, 36 months,1.0,INDIVIDUAL,1.0,credit_card,1.0,High,2.0,Good Loan,0.0,13.66,C,3.0,10.07,4564.13,3277.12,0.0,326.53,ulster
61462609.0,2015.0,01/10/2015,1012016.0,10.0,OWN,2.0,Low,65200.0,1.0,15000.0, 36 months,1.0,INDIVIDUAL,1.0,debt_consolidation,6.0,Low,1.0,Good Loan,0.0,7.26,A,1.0,11.84,923.85,750.66,0.0,464.95,munster
3920044.0,2013.0,01/04/2013,1012016.0,10.0,,3.0,Medium,115000.0,2.0,35000.0, 60 months,,INDIVIDUAL,1.0,,1.0,High,2.0,Good Loan,0.0,21.0,,5.0,15.62,31244.91,14763.22,0.0,946.87,Northern-Irl
5627051.0,2013.0,01/06/2013,1012016.0,8.0,,3.0,Low,65000.0,1.0,17000.0, 60 months,2.0,INDIVIDUAL,1.0,,6.0,High,2.0,Good Loan,0.0,23.63,F,6.0,21.16,15047.78,6352.99,0.0,485.42,Northern-Irl
5937100.0,2013.0,01/07/2013,1042015.0,0.5,,3.0,Medium,105000.0,2.0,10000.0, 36 months,1.0,INDIVIDUAL,1.0,,6.0,Low,1.0,Good Loan,0.0,10.64,,2.0,13.06,11393.94055,10000.0,0.0,325.69,munster
59169328.0,2015.0,01/08/2015,1012016.0,10.0,,2.0,Low,36000.0,1.0,7000.0, 36 months,1.0,INDIVIDUAL,1.0,credit_card,1.0,Low,1.0,Good Loan,0.0,11.53,,2.0,16.4,932.41,664.22,0.0,230.94,leinster
56562601.0,2015.0,01/07/2015,1012016.0,10.0,,2.0,Low,73000.0,1.0,25000.0, 60 months,2.0,INDIVIDUAL,1.0,,6.0,High,2.0,Good Loan,0.0,21.99,F,6.0,22.14,3390.62,1204.42,0.0,690.34,cannught
27691044.0,2014.0,01/10/2014,1012016.0,1.0,,1.0,Medium,115000.0,2.0,15000.0, 36 months,1.0,INDIVIDUAL,1.0,,10.0,Low,1.0,Good Loan,0.0,6.49,,1.0,12.96,6895.05,5898.26,0.0,459.67,Northern-Irl
3095091.0,2013.0,01/01/2013,1112015.0,3.0,MORTGAGE,3.0,Low,40358.0,1.0,2175.0, 36 months,1.0,INDIVIDUAL,1.0,major_purchase,8.0,Low,1.0,Good Loan,0.0,,,2.0,23.67,2547.568917,2175.0,0.0,71.36,leinster
49157583.0,2015.0,01/05/2015,1012016.0,1.0,,3.0,Low,93190.0,1.0,14000.0, 60 months,2.0,INDIVIDUAL,1.0,,6.0,High,2.0,Good Loan,0.0,13.99,C,3.0,10.89,2594.64,1354.08,0.0,325.69,leinster
62215443.0,2015.0,01/10/2015,1012016.0,2.0,OWN,2.0,Low,62000.0,1.0,25000.0, 60 months,2.0,INDIVIDUAL,1.0,debt_consolidation,6.0,Low,1.0,Good Loan,0.0,7.89,,1.0,15.63,1494.88,1030.42,0.0,505.6,Northern-Irl
51996399.0,2015.0,01/06/2015,1012016.0,9.0,,1.0,Low,80000.0,1.0,9000.0, 36 months,1.0,INDIVIDUAL,1.0,debt_consolidation,6.0,Low,1.0,Good Loan,0.0,9.17,,2.0,19.58,2003.86,1562.47,0.0,286.92,ulster
27712000.0,2014.0,01/10/2014,1012016.0,3.0,,3.0,Low,93000.0,1.0,24000.0, 60 months,2.0,INDIVIDUAL,1.0,debt_consolidation,6.0,Low,1.0,Good Loan,0.0,10.99,,2.0,15.46,7825.5,4830.66,0.0,521.7,cannught
48745380.0,2015.0,01/05/2015,1012016.0,10.0,,3.0,Low,57800.0,1.0,28900.0, 36 months,1.0,INDIVIDUAL,1.0,credit_card,1.0,Low,1.0,Good Loan,0.0,8.18,,2.0,29.07,7251.11,5825.8,0.0,908.03,leinster
20939493.0,2014.0,01/07/2014,1122015.0,6.0,MORTGAGE,3.0,Medium,124628.0,2.0,20000.0, 36 months,1.0,INDIVIDUAL,1.0,,6.0,Low,1.0,Good Loan,0.0,,A,1.0,20.08,10516.88,8915.21,0.0,618.64,munster
698418.0,2011.0,01/03/2011,1072014.0,1.0,MORTGAGE,3.0,Low,63000.0,1.0,30000.0, 60 months,2.0,INDIVIDUAL,1.0,,6.0,High,2.0,Good Loan,0.0,16.4,,5.0,11.45,42221.49446,30000.0,0.0,735.94,munster
65037256.0,2015.0,01/11/2015,1012016.0,2.0,RENT,1.0,Low,54000.0,1.0,16000.0, 60 months,2.0,INDIVIDUAL,1.0,,6.0,High,2.0,Good Loan,0.0,,,4.0,27.31,758.16,348.63,0.0,393.79,ulster
696903.0,2011.0,01/03/2011,1032014.0,7.0,,1.0,Low,32000.0,1.0,, 36 months,1.0,INDIVIDUAL,1.0,,6.0,Low,1.0,Good Loan,0.0,,,1.0,16.73,7816.492437999999,7200.0,0.0,217.16,Northern-Irl
22353632.0,2014.0,01/07/2014,1122015.0,10.0,MORTGAGE,3.0,Low,68000.0,1.0,14000.0, 60 months,2.0,INDIVIDUAL,1.0,credit_card,1.0,High,2.0,Good Loan,0.0,,E,5.0,19.66,6593.62,2557.51,0.0,387.86,cannught
55501129.0,2015.0,01/07/2015,1012016.0,10.0,,1.0,Medium,110000.0,2.0,, 36 months,1.0,INDIVIDUAL,1.0,credit_card,1.0,,1.0,Good Loan,0.0,9.99,,2.0,11.48,3849.3,2932.95,0.0,645.25,ulster
38586289.0,2015.0,01/01/2015,1012016.0,8.0,,3.0,Low,96200.0,1.0,23000.0, 36 months,1.0,INDIVIDUAL,1.0,debt_consolidation,6.0,Low,1.0,Good Loan,0.0,,,2.0,20.76,9135.2,6772.29,0.0,763.82,cannught
56010852.0,2015.0,01/08/2015,1012016.0,8.0,RENT,1.0,Medium,135000.0,2.0,33425.0, 60 months,2.0,INDIVIDUAL,1.0,,1.0,Low,1.0,Good Loan,0.0,,B,2.0,11.18,3635.23,2112.46,0.0,735.61,leinster
5620235.0,2013.0,01/06/2013,1012016.0,6.0,RENT,1.0,Low,26000.0,1.0,4500.0, 36 months,1.0,INDIVIDUAL,1.0,,6.0,High,2.0,Good Loan,0.0,14.33,C,3.0,30.82,4788.91,3753.6,0.0,154.53,Northern-Irl
1099104.0,2012.0,01/01/2012,1012015.0,3.0,,1.0,Low,72000.0,1.0,10000.0, 36 months,1.0,INDIVIDUAL,1.0,,1.0,Low,1.0,Good Loan,0.0,11.71,,2.0,6.72,11902.14967,10000.0,0.0,330.76,cannught
67368489.0,2015.0,01/12/2015,1012016.0,10.0,MORTGAGE,3.0,Low,77000.0,1.0,14000.0, 36 months,1.0,INDIVIDUAL,1.0,debt_consolidation,6.0,Low,1.0,Good Loan,0.0,6.89,,1.0,15.36,0.0,0.0,0.0,431.58,leinster
491339.0,2010.0,01/03/2010,1042012.0,5.0,,1.0,Low,40320.0,1.0,14400.0, 36 months,1.0,INDIVIDUAL,1.0,debt_consolidation,6.0,High,2.0,Good Loan,0.0,16.82,,5.0,10.83,17934.03,14400.0,0.0,512.09,ulster
65964317.0,2015.0,01/12/2015,1012016.0,1.0,MORTGAGE,3.0,Low,65000.0,1.0,18925.0, 36 months,1.0,INDIVIDUAL,1.0,,6.0,Low,1.0,Good Loan,0.0,7.89,A,1.0,28.17,608.67,467.65,0.0,592.09,Northern-Irl
43945417.0,2015.0,01/03/2015,1012016.0,2.0,,1.0,Low,80700.0,1.0,8000.0, 36 months,1.0,INDIVIDUAL,1.0,credit_card,1.0,Low,1.0,Good Loan,0.0,,,2.0,21.1,2347.15,1761.05,0.0,261.88,ulster
36158974.0,2014.0,01/11/2014,1122015.0,2.0,OWN,2.0,Low,28800.0,1.0,5000.0, 36 months,1.0,INDIVIDUAL,1.0,debt_consolidation,6.0,Low,1.0,Good Loan,0.0,12.99,,3.0,26.25,2184.44,1586.69,0.0,168.45,leinster
25637140.0,,01/08/2014,1122015.0,10.0,OWN,2.0,Low,92000.0,1.0,23000.0, 36 months,1.0,INDIVIDUAL,1.0,credit_card,1.0,Low,1.0,Good Loan,0.0,9.17,B,2.0,15.86,11731.52,9449.27,0.0,733.22,ulster
9837416.0,2014.0,01/01/2014,1012016.0,6.05,RENT,1.0,Low,50000.0,1.0,11000.0, 36 months,1.0,INDIVIDUAL,1.0,,1.0,Low,1.0,Good Loan,0.0,12.85,B,2.0,7.03,8875.98,6855.9,0.0,369.84,cannught
20128768.0,2014.0,01/07/2014,1042015.0,10.0,,3.0,Medium,130000.0,2.0,33000.0, 60 months,2.0,INDIVIDUAL,1.0,,,High,2.0,Good Loan,0.0,16.99,,4.0,15.59,37131.15,33000.0,0.0,819.96,Northern-Irl
29353968.0,2014.0,01/10/2014,1012016.0,10.0,,1.0,Low,62000.0,1.0,6400.0, 36 months,1.0,,1.0,,1.0,Low,1.0,Good Loan,0.0,,A,1.0,12.18,2967.02,2502.24,0.0,197.97,munster
60686770.0,2015.0,01/09/2015,1012016.0,0.5,,3.0,Low,75000.0,1.0,17450.0, 60 months,2.0,INDIVIDUAL,1.0,,6.0,High,2.0,Good Loan,0.0,,C,3.0,23.26,1596.67,824.32,0.0,405.95,ulster
1233008.0,2012.0,01/04/2012,1122012.0,0.5,,,Low,70000.0,1.0,12000.0, 36 months,1.0,INDIVIDUAL,1.0,medical,9.0,Low,1.0,Bad Loan,1.0,10.74,B,2.0,9.87,3126.64,2341.02,0.0,391.39,ulster
66541208.0,2015.0,01/12/2015,1012016.0,4.0,RENT,1.0,Low,39000.0,1.0,15000.0, 36 months,1.0,INDIVIDUAL,1.0,debt_consolidation,6.0,Low,1.0,Good Loan,0.0,8.38,B,2.0,14.37,465.7,367.93,0.0,472.68,ulster
975150.0,2011.0,01/10/2011,1082013.0,10.0,MORTGAGE,3.0,Low,42000.0,1.0,3000.0, 36 months,1.0,INDIVIDUAL,1.0,,6.0,Low,1.0,Good Loan,0.0,6.03,,1.0,14.26,3240.0,3000.0,0.0,91.31,ulster
21099444.0,2014.0,01/07/2014,1012016.0,10.0,,1.0,Low,42000.0,1.0,12000.0, 36 months,1.0,INDIVIDUAL,1.0,,6.0,Low,1.0,Good Loan,0.0,12.49,B,2.0,28.23,7372.24,5597.66,0.0,401.39,leinster
45182353.0,2015.0,01/04/2015,1012016.0,10.0,MORTGAGE,3.0,Medium,125000.0,2.0,25000.0, 36 months,1.0,INDIVIDUAL,1.0,,3.0,,2.0,Good Loan,0.0,,,3.0,21.71,7740.89,5266.34,0.0,862.36,munster
11396643.0,2014.0,01/02/2014,1052015.0,9.0,MORTGAGE,3.0,Medium,107000.0,2.0,8000.0, 36 months,1.0,INDIVIDUAL,1.0,,6.0,Low,1.0,Good Loan,0.0,7.62,,1.0,19.76,8641.46,8000.0,0.0,249.3,leinster
5636024.0,2013.0,01/07/2013,1092014.0,10.0,MORTGAGE,3.0,Low,86000.0,1.0,2950.0, 36 months,1.0,INDIVIDUAL,1.0,other,4.0,High,2.0,Good Loan,0.0,20.49,,5.0,6.99,3555.28,2950.0,0.0,110.38,Northern-Irl
19127289.0,2014.0,01/06/2014,1122015.0,9.0,,3.0,Medium,180000.0,2.0,14000.0, 36 months,1.0,INDIVIDUAL,1.0,,3.0,Low,1.0,Bad Loan,1.0,11.67,B,2.0,0.84,7867.6,6006.82,0.0,462.8,cannught
44493349.0,2015.0,01/04/2015,1012016.0,10.0,,2.0,Medium,181106.0,2.0,35000.0, 36 months,1.0,INDIVIDUAL,1.0,,1.0,Low,1.0,Good Loan,0.0,6.92,,1.0,15.17,9701.32,8082.94,0.0,1079.42,cannught
13397403.0,2014.0,01/04/2014,1012016.0,4.0,,3.0,Medium,149000.0,2.0,22500.0, 60 months,2.0,INDIVIDUAL,1.0,credit_card,1.0,Low,1.0,Good Loan,0.0,9.67,B,2.0,19.31,9962.82,6677.53,0.0,474.42,Northern-Irl
56350482.0,2015.0,01/08/2015,1012016.0,5.0,RENT,1.0,High,270000.0,3.0,14000.0, 36 months,1.0,INDIVIDUAL,1.0,,1.0,,1.0,Good Loan,0.0,5.32,,1.0,17.1,2103.91,1813.73,0.0,421.61,leinster
9175276.0,2013.0,01/12/2013,1012016.0,5.0,RENT,1.0,Low,46000.0,1.0,14400.0, 36 months,1.0,INDIVIDUAL,1.0,debt_consolidation,6.0,High,2.0,Good Loan,0.0,15.1,,3.0,22.7,12497.03,9294.7,0.0,499.89,ulster
1391709.0,2012.0,01/07/2012,1052013.0,5.0,,3.0,Low,48000.0,1.0,5600.0, 36 months,1.0,INDIVIDUAL,1.0,,6.0,Low,1.0,Good Loan,0.0,11.14,,2.0,13.03,6035.97,5600.0,0.0,183.71,leinster
